Source,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,total_count,Association
National World,751,6,8,5,11,10,16,5,1,0,5,0,7,9,8,0,11,11,8,6,4,7,9,6,7,0,37,6,1,0,4,1,4,4,7,6,1,8,2,5,1,1,2,1,0,0,6,5,3,6,0,0,2,6,2,2,0,0,7,0,1,0,4,4,1050,Europe
Nepal Weekly,350,2,2,0,3,7,7,7,1,0,1,0,0,1,0,0,3,2,4,0,1,2,1,3,1,0,0,1,0,0,1,1,5,4,3,2,0,0,2,0,0,2,0,0,0,2,2,0,2,0,0,0,0,1,1,0,1,0,0,0,0,2,2,0,432,Nepal
New Straits Times (Malaysia),169,4,2,0,4,1,1,4,2,0,1,2,0,1,0,0,2,0,1,0,5,0,0,0,4,0,0,0,2,0,0,0,0,3,0,1,0,4,1,0,4,0,0,1,0,0,1,0,0,1,0,0,0,0,0,3,0,0,0,0,2,0,0,0,226,Malaysia
Niagara Falls Review (Ontario),439,5,5,7,5,1,6,7,5,0,5,10,3,1,2,0,2,4,4,1,0,2,1,3,1,2,0,0,0,0,2,1,1,0,3,1,0,1,2,2,1,2,0,3,2,2,0,2,1,2,1,0,2,2,2,0,0,0,1,1,1,0,0,0,559,Canada
Niagara Falls Review (Ontario) Online,1119,2,11,2,5,16,11,5,0,0,8,0,1,9,1,0,1,5,6,1,1,0,8,3,1,0,0,3,4,3,2,5,5,0,1,1,1,0,2,0,1,4,1,0,1,2,1,0,0,2,11,0,2,1,1,2,3,0,3,0,0,0,2,0,1280,Canada
Nigerian Tribune,217,0,0,2,3,5,14,0,4,0,2,1,2,1,4,0,0,1,2,0,1,0,0,0,0,3,0,0,1,1,2,1,0,1,2,2,1,1,1,3,3,1,1,0,1,3,0,0,0,2,0,0,0,3,1,2,1,0,1,0,0,0,1,0,298,Nigeria
Old Gold and Black: Wake Forest University,52,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,1,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,US
Ottawa Citizen,1230,14,75,5,5,14,7,26,1,0,9,7,0,2,0,0,3,2,10,3,16,5,7,1,0,0,11,6,5,2,3,12,4,8,5,3,4,1,7,13,0,0,0,18,0,0,1,10,8,8,7,0,4,0,3,1,5,0,3,0,0,1,1,0,1596,Canada
Ottawa Sun,425,1,23,3,1,6,4,1,0,0,3,2,0,6,0,0,0,0,3,3,3,4,2,0,0,0,13,1,0,5,4,4,1,2,1,1,1,0,3,4,0,0,0,4,0,0,0,5,1,1,0,0,2,0,0,1,1,0,2,0,0,1,0,0,548,Canada
Pakistan Observer,461,0,2,19,4,10,2,2,9,0,1,1,4,1,1,0,1,1,0,4,0,1,1,0,0,10,0,1,0,4,0,5,0,0,0,2,6,2,1,3,10,1,14,0,5,0,0,0,3,1,0,2,0,1,2,3,0,0,2,1,0,1,1,5,611,Pakistan
Pakistan Today,259,1,0,8,0,1,1,1,7,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,9,0,0,0,1,1,0,0,0,0,1,2,3,0,2,14,0,1,0,3,0,1,0,2,0,0,0,1,1,1,2,0,0,1,1,0,1,0,5,336,Pakistan
Pakistan Weekly,337,2,2,0,3,7,7,6,1,0,1,0,0,1,0,0,3,1,4,0,1,2,1,3,1,0,0,1,0,0,1,1,5,4,3,2,0,0,2,0,0,2,0,0,0,2,2,0,2,0,0,0,0,1,1,0,1,0,0,0,0,2,2,0,417,Pakistan
Philippines Daily Inquirer,546,108,3,21,1,2,12,2,20,0,0,34,2,2,2,0,4,2,1,2,1,0,1,2,1,0,0,0,1,0,1,0,1,4,1,1,1,1,0,1,0,2,3,0,1,1,0,1,1,0,1,0,0,3,2,1,4,0,1,2,1,2,0,0,807,Philippines
Pipe Dream: SUNY at Binghamton,47,0,0,0,0,1,0,2,0,0,4,0,2,0,0,0,0,1,0,2,0,1,1,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,3,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,US
Pittsburgh Post-Gazette,576,1,14,1,4,10,0,12,4,0,4,0,1,4,0,0,4,1,0,5,3,0,5,6,0,0,11,1,15,8,2,12,0,0,4,5,1,0,2,9,0,5,0,4,0,4,1,1,2,2,0,39,3,0,1,4,9,0,0,0,0,2,1,0,803,US
Postmedia Breaking News,3357,95,97,16,17,33,17,39,14,0,49,14,4,19,5,0,6,5,10,17,23,20,28,25,8,6,0,43,13,6,19,21,15,18,6,9,8,10,14,19,3,10,1,23,3,7,1,12,10,17,32,0,7,1,7,5,9,0,8,0,2,3,7,7,4300,Canada
Qatar Tribune,43,0,0,0,1,0,6,0,0,0,0,0,4,0,1,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,66,MENA
Red Deer Advocate,198,0,2,8,3,0,6,1,3,0,1,0,2,0,2,0,1,3,0,3,0,0,2,3,1,1,0,0,2,0,0,2,2,0,0,0,0,1,0,0,0,0,0,3,1,0,1,0,0,0,1,1,0,4,0,0,2,0,0,3,1,0,1,1,266,Canada
Saudi Arabia News Gazette,165,0,0,5,2,2,9,0,3,0,1,3,3,1,3,0,0,1,0,0,0,1,2,0,2,3,0,0,0,2,0,0,0,0,0,0,2,3,1,0,2,0,0,0,3,3,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,2,0,228,MENA
Scotsman,825,1,2,11,20,13,7,6,6,0,3,4,12,2,4,0,12,3,1,6,0,3,1,6,13,2,27,2,3,5,1,1,10,2,3,3,3,2,2,1,2,3,1,8,1,3,8,2,3,0,0,0,3,4,1,2,4,0,1,2,1,3,2,3,1085,Europe
Scottish Daily Mail,1019,16,39,11,18,16,7,4,18,0,10,11,2,5,4,0,11,6,4,4,1,3,3,8,5,1,26,5,2,1,15,0,7,8,10,1,3,4,4,3,3,11,0,2,2,5,2,8,1,2,0,0,0,0,3,3,0,0,1,3,5,1,9,0,1376,Europe
Scottish Express,359,0,8,7,1,5,3,4,2,0,5,0,1,1,0,0,7,2,0,5,2,3,0,12,4,1,13,6,3,3,3,1,2,1,2,4,3,2,1,2,0,3,1,1,0,4,1,0,0,1,0,0,0,0,0,0,2,0,1,0,0,2,0,0,494,Europe
Shropshire Star,155,0,0,2,2,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,2,1,6,0,0,2,0,0,2,2,2,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,1,192,Europe
Siasat Daily (India),595,6,2,9,15,7,11,7,6,0,4,0,20,4,8,0,7,11,9,2,1,1,0,2,10,1,0,3,12,0,0,1,0,2,1,0,0,17,4,1,0,0,2,0,2,4,1,0,0,3,0,0,2,12,3,2,1,38,0,10,2,2,0,0,863,India
South China Morning Post,627,13,0,20,8,11,9,2,11,0,4,14,5,0,15,0,2,0,4,4,4,5,0,1,1,10,0,0,0,3,1,0,1,7,0,3,5,4,3,1,11,1,8,0,17,2,5,0,5,0,0,0,2,0,6,2,1,0,1,1,2,0,0,5,867,China
South Wales Echo,163,3,0,0,0,1,6,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,4,6,0,2,0,0,0,0,0,2,2,0,0,0,1,1,2,4,0,0,0,0,0,0,0,0,0,2,1,0,0,0,207,Europe
SriLanka Weekly,336,2,2,0,3,7,7,6,1,0,1,0,0,1,0,0,3,2,4,0,1,2,1,3,1,0,0,1,0,0,1,1,5,4,3,2,0,0,2,0,0,2,0,0,0,2,2,0,2,0,0,0,0,1,1,0,1,0,0,0,0,2,2,0,417,Sri Lanka
"Sunday Age (Melbourne, Australia)",71,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,2,0,0,1,1,0,4,0,0,0,0,2,0,0,0,2,0,0,0,0,0,1,0,3,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,Australia
Sunday Trust,515,4,0,5,6,9,1,0,7,0,5,11,11,1,1,0,1,4,0,1,0,0,1,0,2,0,0,2,3,1,0,2,0,1,3,2,5,1,0,1,2,0,1,0,2,7,2,2,3,2,0,0,3,1,0,1,0,0,0,0,0,1,0,0,633,Nigeria
Sydney Morning Herald (Australia),766,16,38,19,4,18,6,11,14,0,9,13,3,7,4,0,4,4,2,9,3,11,12,1,3,6,0,8,0,5,0,9,1,3,0,6,8,1,5,2,4,1,2,2,2,3,0,0,4,3,0,0,4,0,4,1,0,0,1,2,1,1,0,4,1070,Australia
Taranaki Daily News (New Zealand),545,0,7,1,2,0,6,0,2,0,1,0,1,0,3,2,4,0,1,0,0,4,0,1,4,0,0,0,0,0,2,0,0,1,0,0,0,0,1,1,0,0,0,2,0,1,4,4,0,3,13,0,1,0,0,0,0,0,0,0,3,0,0,0,620,New Zealand
Tasnim News Agency (English),371,0,0,5,8,0,15,0,1,0,0,0,15,0,0,0,2,9,1,3,0,0,0,0,5,0,0,3,0,6,0,0,1,0,0,1,7,3,0,0,4,1,4,0,2,2,0,0,0,1,0,0,0,8,0,2,0,0,0,4,0,0,0,2,486,MENA
Tehran Times,270,2,0,13,4,1,2,1,1,0,0,1,5,2,3,0,2,0,0,4,0,0,0,0,2,5,0,1,0,3,0,0,0,0,0,3,2,0,1,1,0,1,1,0,2,1,0,0,0,1,0,0,0,0,1,4,0,0,1,0,2,0,0,2,345,MENA
"Telegraph Herald (Dubuque, IA)",850,8,26,10,38,5,11,1,6,0,3,7,7,8,12,1,4,2,5,8,3,1,0,6,12,4,0,3,2,2,3,1,6,3,10,1,1,3,1,1,2,3,9,0,1,2,1,0,1,5,1,0,6,6,4,4,0,0,1,6,3,0,6,0,1136,US
Texas Public Policy Foundation,36,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,US
The Advertiser (Australia),305,0,6,3,3,3,3,7,2,0,2,0,1,0,1,0,8,2,2,2,2,1,4,4,0,0,0,3,0,0,2,1,0,6,0,2,1,0,2,1,1,0,0,1,0,2,4,2,0,1,0,0,0,0,0,2,2,0,0,0,6,0,2,0,402,Australia
"The Age (Melbourne, Australia)",968,16,33,19,6,21,11,14,6,0,17,11,6,5,3,0,11,9,8,8,1,6,3,4,6,6,0,7,6,7,2,3,12,3,3,8,10,5,3,1,5,6,2,2,3,3,4,1,1,2,0,0,2,2,6,2,3,0,3,2,3,2,1,3,1326,Australia
The Albany Student Press: SUNY at Albany,52,1,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,3,0,1,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,71,US
The Alestle: Southern Illinois University - Edwardsville,14,0,1,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,US
The Atlanta Journal-Constitution,400,5,11,4,16,2,2,23,4,0,13,2,3,1,2,0,1,0,4,1,0,3,2,9,1,0,0,2,7,1,3,7,5,1,1,0,1,0,0,2,0,9,4,7,0,0,6,2,3,0,0,0,1,2,1,0,5,0,0,1,0,0,2,0,582,US
The Australian,1424,39,44,35,22,37,0,23,14,0,18,21,1,16,5,0,7,2,4,11,5,13,18,9,0,11,0,21,2,13,3,24,7,2,7,6,12,5,3,16,3,6,3,7,11,7,7,2,9,10,1,0,5,3,2,9,2,0,7,0,1,2,2,5,2004,Australia
The Balochistan Times (AsiaNet),393,4,0,3,2,14,9,1,5,0,3,2,1,0,2,0,1,2,0,10,4,1,0,0,4,2,0,0,0,1,0,0,2,2,0,5,3,0,1,0,4,0,3,1,6,3,0,0,0,2,0,0,1,2,5,1,0,0,2,0,0,1,0,2,510,MENA
The Baltimore Sun,899,5,6,10,14,13,4,0,13,0,4,5,3,8,8,0,2,6,7,1,7,5,1,2,14,2,0,3,1,9,2,0,3,1,4,1,8,1,4,7,3,0,6,1,6,5,3,3,0,0,1,0,0,2,1,7,2,0,2,3,3,3,0,4,1138,US
The Bangkok Post (Thailand),560,30,6,3,24,4,34,0,3,0,6,15,1,1,3,0,2,6,18,0,0,0,0,3,3,1,0,0,0,2,3,0,1,23,11,0,0,0,1,0,0,3,0,3,2,2,3,0,4,0,0,0,0,1,1,1,8,0,1,2,1,0,1,1,798,Thailand
The Bates Student: Bates College,15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,US
The Bismarck Tribune,534,0,2,15,5,4,6,2,1,0,4,0,5,1,7,0,10,5,0,3,3,5,0,0,1,2,0,2,0,5,0,1,5,0,5,3,2,3,2,0,0,1,2,2,0,0,0,0,2,1,0,0,0,5,0,2,0,0,0,2,2,3,3,0,668,US
The Breeze: James Madison University,34,0,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,0,1,2,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,US
The Brown Daily Herald: Brown University,119,0,10,0,0,0,0,2,0,0,4,0,0,0,0,0,2,2,0,2,2,0,2,6,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,162,US
The Calgary Herald (Alberta),1146,0,12,3,7,11,3,8,1,0,6,0,5,3,0,0,4,4,1,6,7,10,8,4,4,1,7,10,3,4,4,7,6,6,4,1,3,9,2,9,0,5,0,4,0,1,1,2,2,4,6,0,1,0,1,2,2,0,6,0,2,0,3,1,1372,Canada
The Catalyst: Colorado College,16,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,24,US
The Charger Bulletin: University of New Haven,39,0,0,0,1,1,2,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,US
The Christian Science Monitor,307,0,3,10,1,8,0,4,8,0,1,0,2,2,2,0,2,0,0,2,3,6,0,2,1,6,0,1,0,1,0,0,1,0,0,0,1,5,2,0,1,0,1,0,1,2,0,0,1,1,0,3,2,1,3,1,0,0,5,0,0,0,0,2,405,US
The Chronicle: Quinnipiac University,164,2,6,0,4,1,0,5,0,0,1,0,1,1,0,0,1,1,0,2,0,1,1,1,0,0,0,0,1,0,3,0,0,3,1,0,1,0,0,3,0,1,0,2,0,0,0,2,0,0,1,0,0,0,1,2,0,0,0,0,0,0,3,0,216,US
The Circle: Marist College,24,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,US
The Citizen (Tanzania),326,2,0,14,4,7,5,2,3,0,4,1,3,0,7,1,2,7,1,4,1,0,0,2,0,2,0,3,0,1,1,0,2,4,0,4,6,1,0,2,1,1,1,0,0,2,0,0,0,0,0,0,0,4,2,4,0,0,0,0,0,2,1,3,443,Tanzania
The Clause: Azusa Pacific University,31,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,US
"The Columbian (Vancouver, Washington)",721,16,7,11,23,3,8,0,8,0,1,10,5,3,5,0,8,9,0,2,3,5,0,3,6,2,0,0,0,2,0,0,4,1,7,2,0,3,1,0,4,0,3,0,2,4,1,1,0,1,2,0,1,8,0,0,2,0,1,9,4,1,2,0,925,US
The Concordian: Concord College,17,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,Europe
The Courier,222,6,3,2,7,2,3,6,2,0,2,0,0,0,3,0,6,0,0,1,2,0,0,6,3,1,10,2,0,2,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,5,0,0,1,0,0,1,0,0,1,0,0,0,3,1,0,1,0,309,Europe
The Courier Mail (Australia),289,3,1,2,4,9,8,3,0,0,6,1,1,0,0,0,0,5,1,5,0,5,2,2,0,0,0,2,2,1,0,4,0,0,4,0,3,1,1,0,0,0,2,1,0,0,1,0,2,1,0,0,0,0,0,2,1,0,3,4,1,1,3,1,388,Australia
The Daily Athenaeum: West Virginia University,28,0,1,0,0,1,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,40,US
The Daily Campus: University of Connecticut,23,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,US
The Daily Cardinal: University of Wisconsin - Madison,129,0,16,0,2,2,0,8,0,0,14,0,4,4,0,0,2,0,0,0,2,0,8,0,0,0,0,2,0,2,4,4,0,0,0,0,0,2,2,7,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,2,220,US
The Daily Emerald: University of Oregon,68,2,0,0,1,3,0,1,0,0,1,0,2,1,0,0,0,2,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,94,US
The Daily Gamecock: University of South Carolina - Columbia,31,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,36,US
The Daily Iowan: University of Iowa,24,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,US
"The Daily Star, Dhaka, Bangladesh / Asia News Network",227,3,2,2,1,2,5,0,2,0,7,0,1,1,8,0,0,1,6,0,0,3,0,0,0,1,0,1,2,0,2,0,0,7,3,0,2,0,0,0,3,2,1,2,0,2,2,1,0,0,0,2,0,0,1,0,4,0,0,1,0,0,0,0,310,Bangladesh
The Daily Telegraph (Australia),317,2,7,4,0,5,8,8,2,0,2,0,2,1,0,0,5,3,2,7,6,5,3,2,0,0,0,2,0,1,2,2,0,0,1,2,1,0,0,2,0,0,0,1,1,0,2,3,0,2,0,0,0,0,0,0,1,0,1,1,1,1,0,0,418,Australia
The Daily Telegraph (London),1444,26,10,39,18,20,5,24,19,0,12,26,7,9,9,0,7,5,4,20,5,12,26,5,5,11,23,24,3,6,0,13,3,2,6,15,5,4,13,4,3,3,10,5,4,5,0,1,7,6,1,0,3,0,5,1,3,0,5,1,3,1,4,6,1966,Europe
The Daily Vidette: Illinois State University,19,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,US
The Dartmouth: Dartmouth College,128,0,3,0,0,4,0,18,0,0,4,0,0,5,0,0,2,0,0,2,2,2,0,1,0,0,0,2,2,1,0,6,0,0,0,5,0,0,2,5,0,3,0,2,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,204,US
The Deseret News,1076,9,42,8,10,17,6,22,5,0,16,5,6,12,6,0,5,6,2,8,29,7,18,8,1,1,0,18,7,6,6,15,2,0,0,11,5,2,2,18,1,5,3,10,9,1,7,2,1,5,0,0,9,3,2,2,3,0,1,0,1,6,2,1,1491,US
The Duke Chronicle: Duke University,87,0,2,0,0,0,0,3,2,0,4,1,0,3,1,0,0,0,0,0,5,1,0,1,0,0,0,1,0,0,0,2,0,0,0,1,0,0,1,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,123,US
The Eagle: American University,39,0,3,0,1,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,55,US
The Eagle: Florida Gulf Coast University,21,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,US
The Economic Times,1022,153,1,33,1,15,4,2,37,0,3,74,1,4,8,0,3,10,12,4,0,2,2,0,0,4,0,0,0,0,1,1,0,3,1,0,2,5,2,0,0,0,12,0,10,4,3,0,12,2,0,0,3,0,0,0,3,0,5,1,1,6,0,1,1473,India
The Evening Standard (London),548,11,8,10,13,8,2,1,9,0,1,12,3,1,8,0,12,1,3,7,2,2,2,1,0,2,18,3,0,4,0,1,0,4,2,1,5,7,0,0,0,3,1,0,0,3,8,2,0,0,0,0,1,7,2,1,1,0,0,1,2,0,1,1,746,Europe
The Express,564,0,12,9,11,11,4,4,10,0,1,0,5,0,2,0,5,8,0,11,0,6,3,7,2,2,22,4,3,3,3,3,1,2,3,10,6,6,1,2,2,7,1,1,1,7,1,1,0,3,0,0,3,4,0,0,1,0,4,0,1,2,1,0,786,Europe
The Express Tribune,726,0,2,24,5,18,4,2,10,0,5,1,3,5,1,0,1,0,0,7,2,3,1,1,5,14,0,1,0,12,1,0,10,1,4,2,12,1,3,2,10,1,4,1,5,4,4,1,9,0,0,0,5,3,7,5,1,0,4,5,0,4,0,4,966,Pakistan
The Frontier Star,301,3,0,5,2,10,5,2,3,0,2,1,3,0,0,0,0,3,0,5,3,2,0,0,3,1,0,1,0,0,0,0,2,1,0,0,2,0,2,0,3,1,4,1,2,1,0,0,1,1,0,0,2,2,0,0,1,0,3,0,0,1,0,0,385,Pakistan
The Gazette (Montreal),1025,2,14,3,8,11,0,26,1,0,23,0,0,1,4,0,6,1,1,3,5,9,16,9,0,2,9,24,6,1,2,14,4,0,3,6,1,0,3,5,0,6,1,5,0,2,1,3,3,4,8,0,4,2,1,1,1,0,1,0,0,0,1,0,1292,Canada
The Guardian (London),18743,370,275,119,282,199,244,364,124,2129,156,103,197,298,179,1428,107,122,121,78,189,72,74,88,98,54,0,54,35,74,132,59,61,61,102,71,68,35,56,53,62,52,75,98,55,40,63,96,109,55,217,0,81,46,37,34,43,0,34,47,85,55,46,20,28524,Europe
The Guardian: University of California - San Diego,118,1,8,1,1,2,0,5,0,0,2,0,1,1,0,0,0,1,0,2,0,1,3,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,156,US
The Hamilton Spectator (Ontario),735,1,22,6,7,2,7,7,7,0,5,3,6,1,3,0,3,5,2,3,4,1,5,4,1,3,0,0,2,2,4,10,1,1,3,1,0,3,2,1,1,3,0,4,2,1,0,1,0,1,2,0,1,2,3,0,1,0,0,2,1,3,1,0,902,Canada
The Hamilton Spectator (Ontario) Online,1148,1,43,2,9,5,8,6,0,0,4,0,5,7,1,0,5,3,5,0,5,1,10,8,1,0,0,4,4,4,4,12,2,0,1,2,1,4,2,0,1,6,0,1,0,2,1,0,0,3,11,0,1,1,1,2,3,0,2,0,0,0,2,0,1354,Canada
The Hartford Courant,977,7,8,11,16,4,4,5,27,0,6,5,6,1,10,0,2,3,2,2,5,12,3,3,15,2,0,5,1,6,0,0,1,2,6,5,0,2,8,4,2,3,5,1,9,4,4,1,2,2,1,0,3,6,1,1,2,0,4,6,3,2,2,2,1242,US
The Hatchet: George Washington University,42,0,5,1,0,0,0,2,0,0,8,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,1,1,0,1,0,1,2,2,0,2,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,76,US
The Heights: Boston College,118,0,4,0,2,1,0,4,0,0,1,0,0,0,0,0,1,1,0,0,0,1,3,1,0,0,0,1,4,0,0,3,2,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,155,US
The Herald,734,1,16,10,6,13,6,16,7,0,6,2,1,13,0,0,3,0,1,5,3,16,9,7,8,2,0,5,2,3,4,11,12,1,1,3,9,4,1,3,5,11,3,1,0,6,4,2,3,1,0,0,9,2,1,2,3,0,4,2,1,3,4,1,1012,Europe
The Herald (Glasgow),378,13,9,7,3,5,10,5,3,0,3,1,2,6,4,0,6,2,0,4,0,6,1,2,1,0,0,2,0,5,1,3,0,0,0,0,2,3,1,0,0,2,1,0,1,1,0,0,1,2,0,0,2,0,2,2,0,0,1,2,2,1,1,0,509,Europe
The Hindu,39,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,48,India
The Independent (United Kingdom),14426,197,146,163,383,227,154,194,69,0,137,31,145,120,99,13,111,85,113,81,53,80,86,99,88,29,0,64,35,67,37,66,84,63,84,78,47,57,54,45,37,50,48,76,19,59,44,64,37,33,6,1,67,35,28,27,54,0,37,45,37,23,36,11,18984,Europe
The Independent - Daily Edition,887,1,10,19,10,13,5,9,10,0,0,0,3,4,5,0,5,6,3,16,4,9,0,6,7,8,0,3,2,5,4,0,8,3,1,6,8,4,6,4,7,4,2,3,0,2,3,4,1,6,0,0,3,6,3,3,1,0,4,3,0,5,3,1,1158,Europe
The Irish Times,1229,26,24,23,25,16,12,2,16,0,8,8,8,4,9,0,8,5,2,11,7,8,1,2,9,13,0,2,4,15,7,1,3,2,7,7,5,11,12,4,5,5,5,1,10,4,3,3,2,3,0,0,2,4,2,4,2,0,5,3,1,9,2,6,1637,Europe
