Source,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,total_count,Association
Cavalier Daily: University of Virginia,52,0,1,0,4,2,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,4,4,0,0,0,0,2,0,0,0,2,0,0,0,2,0,0,4,0,0,0,0,0,0,0,87,US
Chicago Daily Herald,206,0,5,2,2,3,4,1,2,0,9,1,3,4,3,0,0,2,2,0,2,1,4,3,3,0,6,0,0,1,1,1,1,1,2,0,0,1,0,0,0,0,5,0,2,0,2,1,1,2,0,0,1,0,1,0,0,0,0,0,1,0,0,0,292,US
Chicago Maroon: University of Chicago,65,1,0,0,0,1,0,7,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1,0,0,0,0,0,0,1,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,US
China Daily,292,2,0,6,2,6,4,0,13,0,0,1,0,0,3,0,0,2,2,0,1,0,0,0,1,7,0,0,0,0,0,0,1,1,0,0,0,3,0,0,6,0,12,0,12,2,0,0,2,0,0,0,0,0,4,1,0,0,3,0,1,2,0,1,393,China
China Daily (Hong Kong Edition),365,1,2,4,0,5,1,2,12,0,2,0,2,0,2,0,4,2,2,1,2,0,1,0,0,9,0,0,2,2,0,2,3,2,0,1,2,1,0,0,8,0,3,0,13,2,0,0,1,0,0,0,2,0,1,0,0,0,1,2,0,4,0,0,471,China
China Daily European Edition,241,1,6,9,1,2,7,0,10,0,0,1,3,0,3,0,3,6,1,0,1,0,3,0,1,5,0,0,1,1,0,1,1,1,0,0,0,4,0,0,6,0,3,0,4,2,0,0,1,0,0,0,0,0,1,1,0,0,2,1,4,2,0,1,341,China
Cornell Daily Sun: Cornell University,161,0,12,0,0,0,0,8,0,0,4,0,0,5,0,0,2,0,0,2,2,0,0,4,0,0,0,2,2,0,4,5,0,0,0,1,0,0,1,6,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226,US
Cyprus Mail,310,19,0,10,0,0,11,0,7,0,0,13,1,0,2,0,1,1,1,0,4,1,0,0,2,8,0,1,0,2,0,1,0,2,1,1,4,1,1,0,0,0,5,0,1,0,0,0,1,1,0,0,0,1,2,1,2,0,0,0,0,1,0,1,421,Cyprus
DEFENSE and SECURITY (Russia),121,1,2,2,0,2,0,0,6,0,1,4,2,0,3,0,0,4,0,1,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,164,Europe
Daily Californian: University of California - Berkeley,51,0,0,1,0,0,0,0,0,0,4,0,1,0,0,0,3,0,0,1,0,1,1,0,0,0,0,3,0,0,1,2,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,US
Daily Collegian: Pennsylvania State University,31,0,1,0,1,2,0,4,0,0,4,0,0,0,0,0,1,1,0,0,0,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,US
Daily Independent (Nigeria),589,2,3,10,6,16,3,4,10,0,5,10,0,4,0,0,3,5,2,6,2,1,0,0,3,4,0,0,0,5,8,0,0,5,1,2,2,1,4,2,2,0,2,0,3,2,5,0,5,0,0,0,0,3,2,1,1,0,5,2,0,3,0,1,755,Nigeria
Daily Mirror,2100,2,53,50,37,48,15,6,11,0,8,2,25,0,2,0,19,4,13,6,9,6,5,20,11,8,75,14,7,6,0,10,6,0,13,7,9,15,4,0,0,38,0,4,1,14,7,4,7,9,0,0,5,12,4,6,7,0,2,5,4,4,5,9,2773,Europe
Daily News (New York),771,10,13,3,21,3,4,20,2,0,20,0,5,10,2,0,3,6,7,2,2,8,11,6,2,0,0,3,9,1,3,4,2,1,1,5,0,5,3,8,0,5,0,18,1,2,0,1,3,6,0,0,0,1,2,1,6,1,1,1,2,3,3,2,1035,US
Daily News (South Africa),162,1,0,3,2,3,5,1,0,0,0,0,2,0,1,0,2,2,1,0,0,0,1,2,0,1,0,0,0,1,0,0,2,1,1,0,6,1,1,0,1,3,0,1,0,1,0,0,1,0,0,0,0,1,2,2,1,0,2,4,0,0,1,0,222,South Africa
Daily News Egypt,215,8,0,4,3,2,24,0,2,0,1,0,1,1,4,0,1,6,0,4,0,0,0,1,8,3,0,2,0,3,0,0,3,1,1,0,2,2,0,0,2,0,0,0,1,2,2,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,0,2,316,MENA
Daily Post (North Wales),131,2,4,0,0,1,4,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,3,0,1,0,0,2,2,3,0,4,0,0,0,0,0,1,2,2,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,179,Europe
Daily Record and Sunday Mail,503,5,10,15,9,8,2,2,2,0,1,2,3,0,1,0,12,2,4,0,2,0,5,17,4,2,23,2,1,1,0,1,1,1,3,1,1,7,1,1,1,20,0,0,0,4,6,1,1,1,0,0,0,8,0,0,3,0,0,2,0,3,1,1,707,Europe
Daily Skiff: Texas Christian University,34,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,43,US
Daily Targum: Rutgers University,168,0,6,1,1,11,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,2,1,0,0,0,1,0,1,1,1,1,0,0,1,0,1,0,1,1,0,0,0,0,4,0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,2,4,218,US
Daily Times (PK),150,0,0,9,0,2,0,0,8,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,9,0,0,0,2,0,0,0,0,0,1,2,2,0,0,0,1,1,0,2,3,0,0,0,0,0,0,0,0,8,1,0,9,0,0,0,1,0,0,214,Pakistan
Daily Trojan: University of Southern California,51,0,2,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,67,US
Dawn (Pakistan),480,8,4,4,2,7,6,6,6,0,4,1,2,0,3,0,3,1,1,5,5,2,1,2,3,4,0,2,0,6,0,1,0,0,1,2,10,1,1,2,3,2,0,0,3,4,1,0,7,1,0,0,2,0,1,2,2,0,5,1,0,2,0,1,623,Pakistan
Die Welt (English),728,9,2,29,4,6,5,13,31,0,1,6,0,5,4,18,0,1,4,0,0,2,1,0,0,11,6,3,1,2,2,0,0,1,0,2,3,1,1,4,6,0,4,1,12,4,0,0,1,3,2,1,0,1,4,5,1,0,2,0,0,5,1,1,960,Europe
